status,reason,slug,name,category,scheme_code,amc_id,amc_name,holder_slug,holder_rows,in_parsed_json
OK,holdings_linked,hdfc-flexi-cap-fund-growth-option-direct-plan,HDFC Flexi Cap Fund,Flexi Cap,118955,9,HDFC,hdfc-flexi-cap-fund-growth-option-direct-plan,,yes
OK,holdings_linked,helios-flexi-cap-fund-direct-plan,Helios Flexi Cap Fund - Direct Plan,Flexi Cap,152135,36,Helios,helios-flexi-cap-fund-direct-plan,,no
OK,holdings_linked,icici-prudential-flexicap-fund-direct-plan,ICICI Prudential Flexicap Fund - Direct Plan,Flexi Cap,148990,5,ICICI Prudential,icici-prudential-flexicap-fund-direct-plan,,yes
OK,holdings_linked,iti-flexi-cap-fund-direct-plan,ITI Flexi Cap Fund- Direct Plan,Flexi Cap,151379,14,ITI,iti-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,invesco-india-flexi-cap-fund-direct-plan,Invesco India Flexi Cap Fund - Direct Plan,Flexi Cap,149763,2,Invesco India,invesco-india-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,jioblackrock-flexi-cap-fund-direct-plan,JioBlackRock Flexi Cap Fund - Direct Plan,Flexi Cap,153859,67,Jio BlackRock,jioblackrock-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,lic-mf-flexi-cap-fund-direct-plan,LIC MF Flexi Cap Fund-Direct Plan,Flexi Cap,120264,4,LIC,lic-mf-flexi-cap-fund-direct-plan,,yes
MISSING,amc_has_other_funds_only,mahindra-manulife-flexi-cap-fund-direct-plan,Mahindra Manulife Flexi Cap Fund - Direct Plan,Flexi Cap,149104,28,Mahindra Manulife,mahindra-manulife-innovation-opportunities-fund; mahindra-manulife-consumption-fund-direct-plan,,yes
OK,holdings_linked,mirae-asset-flexi-cap-fund-direct-plan,Mirae Asset Flexi Cap Fund - Direct Plan,Flexi Cap,151412,23,Mirae Asset,mirae-asset-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,motilal-oswal-flexi-cap-fund-direct-plan,Motilal Oswal Flexi cap Fund Direct Plan,Flexi Cap,129046,13,Motilal Oswal,motilal-oswal-flexi-cap-fund,,yes
OK,holdings_linked,nj-flexi-cap-fund-direct-plan,NJ Flexi Cap Fund - Direct Plan,Flexi Cap,151917,32,NJ,nj-flexi-cap-fund-direct-plan,,yes
OK,holdings_linked,navi-flexi-cap-fund-direct-plan,Navi Flexi Cap Fund - Direct Plan,Flexi Cap,143793,74,Navi,navi-flexi-cap-fund-direct-plan,,yes
